repo,link,org,total_reviews,reviews_30d
posthog/posthog,https://github.com/posthog/posthog,Personal,13725,1764
raycast/extensions,https://github.com/raycast/extensions,Raycast,5764,714
twentyhq/twenty,https://github.com/twentyhq/twenty,Twenty,4960,626
onyx-dot-app/onyx,https://github.com/onyx-dot-app/onyx,Personal,3336,534
helicone/helicone,https://github.com/helicone/helicone,Personal,3101,200
openobserve/openobserve,https://github.com/openobserve/openobserve,Personal,2489,266
simstudioai/sim,https://github.com/simstudioai/sim,Sim Studio,1964,442
infisical/infisical,https://github.com/infisical/infisical,Infisical,1445,189
nvidia/transformerengine,https://github.com/nvidia/transformerengine,Nvidia_public_github,1340,607
assistant-ui/assistant-ui,https://github.com/assistant-ui/assistant-ui,Personal,1156,224
nvidia/fuser,https://github.com/nvidia/fuser,Nvidia_public_github,940,645
eventual-inc/daft,https://github.com/eventual-inc/daft,Daft OSS,870,222
posthog/posthog-js,https://github.com/posthog/posthog-js,Personal,851,145
ethyca/fides,https://github.com/ethyca/fides,Ethyca,813,184
nvidia-holoscan/holohub,https://github.com/nvidia-holoscan/holohub,Nvidia_public_github,762,404
isaac-sim/isaaclab,https://github.com/isaac-sim/isaaclab,Nvidia_public_github,713,106
nvidia/nvflare,https://github.com/nvidia/nvflare,Nvidia_public_github,704,512
browserbase/stagehand,https://github.com/browserbase/stagehand,Stagehand,671,148
nvidia-nemo/curator,https://github.com/nvidia-nemo/curator,Nvidia_public_github,637,515
nvidia/spark-rapids,https://github.com/nvidia/spark-rapids,Nvidia_public_github,537,365
ever-co/ever-gauzy,https://github.com/ever-co/ever-gauzy,Ever,472,57
langfuse/langfuse-python,https://github.com/langfuse/langfuse-python,Personal,461,32
nvidia/dali,https://github.com/nvidia/dali,Nvidia_public_github,422,337
nvidia/physicsnemo,https://github.com/nvidia/physicsnemo,Nvidia_public_github,380,46
pdfme/pdfme,https://github.com/pdfme/pdfme,pdfme,371,53
reflex-dev/reflex,https://github.com/reflex-dev/reflex,Reflex,370,32
quiltdata/quilt,https://github.com/quiltdata/quilt,Personal,357,32
umami-software/umami,https://github.com/umami-software/umami,Personal,273,70
gptme/gptme,https://github.com/gptme/gptme,Superuser Labs,246,127
nvidia-nemo/guardrails,https://github.com/nvidia-nemo/guardrails,Nvidia_public_github,232,89
sqlfluff/sqlfluff,https://github.com/sqlfluff/sqlfluff,SQLFluff,217,14
strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,Strawberry,196,18
nvidia/warp,https://github.com/nvidia/warp,Nvidia_public_github,134,74
nvidia/earth2studio,https://github.com/nvidia/earth2studio,Nvidia_public_github,156,27
nvidia/cloudai,https://github.com/nvidia/cloudai,Nvidia_public_github,144,113
nvidia/numba-cuda,https://github.com/nvidia/numba-cuda,Nvidia_public_github,168,168
helixdb/helix-db,https://github.com/helixdb/helix-db,HelixDB,161,81
nvidia/matx,https://github.com/nvidia/matx,Nvidia_public_github,46,6
confident-ai/deepeval,https://github.com/confident-ai/deepeval,Confident AI,35,11
openreplay/openreplay,https://github.com/openreplay/openreplay,OpenReplay,297,68
remnawave/panel,https://github.com/remnawave/panel,Remnawave,160,31
stack-auth/stack-auth,https://github.com/stack-auth/stack-auth,Stack Auth,424,48
adaline/gateway,https://github.com/adaline/gateway,Adaline,87,25
synnaxlabs/synnax,https://github.com/synnaxlabs/synnax,Synnax,250,149
nvidia-digital-bio/nvmolkit,https://github.com/nvidia-digital-bio/nvmolkit,Nvidia_public_github,84,67
generaltranslation/gt,https://github.com/generaltranslation/gt,generaltranslation,577,117
langfuse/langfuse-js,https://github.com/langfuse/langfuse-js,Personal,237,12
cline/cline,https://github.com/cline/cline,Cline,311,311
berriai/litellm,https://github.com/berriai/litellm,LiteLLM,5759,5549
dyad-sh/dyad,https://github.com/dyad-sh/dyad,Dyad,1401,807
kortix-ai/suna,https://github.com/kortix-ai/suna,Kortix,704,91
netflix/metaflow,https://github.com/netflix/metaflow,Netflix,462,462
elizaos/eliza,https://github.com/elizaos/eliza,ElizaOS,114,48
appwrite/console,https://github.com/appwrite/console,Appwrite,75,75
solana-foundation/kora,https://github.com/solana-foundation/kora,Solana Foundation,88,40
solana-foundation/explorer,https://github.com/solana-foundation/explorer,Solana Foundation,38,23
